ID,Name,Impact,Feasibility,Scalability,Overall
P45,P45 - AI-driven medical research networks: connecting experts for collaborative discovery,4,3,4,3.67
P46,P46 - Web Platform for Project Contests,3,4,4,3.67
P47,P47 - Web Platform for Connecting Professionals and Projects,3,3,4,3.33
P48,P48 - Helping 10 million people with Parkinson's disease walk to the beat of music,4,3,4,3.67
P49,P49 - Emotion Recognition Software,3,3,4,3.33
P50,P50 - A Platform for Melody Mentoring,3,2,4,3
P51,P51 - Event Aggregation and Management Web Platform,3,3,4,3.33
P52,P52 - Course Insights and Skill Alignment Platform,3,3,4,3.33
P53,P53 - Programmatic Assessment Manager,3,4,4,3.67
P54,P54 - Low-quality face recognition in wild API,3,3,4,3.33
P55,P55 - Developing outstanding software interfaces and processes in medical research,3,4,3,3.33
P56,P56 - AI-enhanced Moodle LMS Plugin for managing Entrustable Professional Activity (EPA) assessments in Faculty of Medicine and Health,4,2,4,3.33
P57,P57 - Development of quantitative readout for traumatic brain injury (TBI) point of care (POC) device,4,3,4,3.67
P58,P58 - Virtual Specialist Veterinary Service Platform,4,3,4,3.67
P59,P59 - IoT-based fleet management and telematics,4,3,4,3.67
P60,P60 - Communication Accessibility Web App Prototype - MyCommsPro,4,3,4,3.67
P61,P61 - Edpay App,3,2,4,3
P62,P62 - FunWattle: AI-powered digital reinforcement of kids' speech skills,4,3,4,3.67
P63,P63 - Enabling user-friendly access to an ML disease prediction tool,3,3,4,3.33
P64,P64 - Quick Assist app prototype,4,3,4,3.67
P65,P65 - Changing Life Keep Your Balance: multilingual mental health literacy app,4,3,4,3.67
P66,P66 - AI for Language Learning,3,3,4,3.33
P67,P67 - Stress tracking app,3,3,4,3.33
P68,P68 - Transition Dashboard - Custom AI,3,3,3,3
P70,P70 - Development of a Windows Client Dashboard Program for Real-time Monitoring of General Practitioners Daily Workload Statistics and Basic Compliance,3,4,3,3.33
P71,P71 - Providing Web-Based Access for General Practitioners to Manage Appointments in Best Practice Medical Software,3,4,4,3.67
P72,P72 - Crowd-Sourced Online Data Annotation Platform,3,3,4,3.33
P73,P73 - Analytics of Web Application,2,3,3,2.67
P76,P76 - Web Tool for Evaluating Software Reliability,3,3,4,3.33
